('frequent itemsets for pass=', 1, ['a', 'b', 'c', 'd', 'e', 'f', 'g'])
('ele', ('a', 'd'), 'hashkey=', 0, 'hashCount=', 1)
('ele', ('a', 'e'), 'hashkey=', 1, 'hashCount=', 1)
('ele', ('d', 'e'), 'hashkey=', 4, 'hashCount=', 1)
('ele', ('b', 'd'), 'hashkey=', 1, 'hashCount=', 2)
('ele', ('b', 'e'), 'hashkey=', 2, 'hashCount=', 1)
('ele', ('b', 'f'), 'hashkey=', 3, 'hashCount=', 1)
('ele', ('d', 'e'), 'hashkey=', 4, 'hashCount=', 2)
('ele', ('d', 'f'), 'hashkey=', 5, 'hashCount=', 1)
('ele', ('e', 'f'), 'hashkey=', 6, 'hashCount=', 1)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 1)
('ele', ('a', 'd'), 'hashkey=', 0, 'hashCount=', 2)
('ele', ('a', 'e'), 'hashkey=', 1, 'hashCount=', 3)
('ele', ('c', 'd'), 'hashkey=', 2, 'hashCount=', 2)
('ele', ('c', 'e'), 'hashkey=', 3, 'hashCount=', 2)
('ele', ('d', 'e'), 'hashkey=', 4, 'hashCount=', 3)
('ele', ('a', 'b'), 'hashkey=', 18, 'hashCount=', 1)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 2)
('ele', ('a', 'f'), 'hashkey=', 2, 'hashCount=', 3)
('ele', ('a', 'g'), 'hashkey=', 3, 'hashCount=', 3)
('ele', ('a', 'i'), 'hashkey=', 5, 'hashCount=', 2)
('ele', ('b', 'c'), 'hashkey=', 0, 'hashCount=', 3)
('ele', ('b', 'f'), 'hashkey=', 3, 'hashCount=', 4)
('ele', ('b', 'g'), 'hashkey=', 4, 'hashCount=', 4)
('ele', ('b', 'i'), 'hashkey=', 6, 'hashCount=', 2)
('ele', ('c', 'f'), 'hashkey=', 4, 'hashCount=', 5)
('ele', ('c', 'g'), 'hashkey=', 5, 'hashCount=', 3)
('ele', ('c', 'i'), 'hashkey=', 7, 'hashCount=', 1)
('ele', ('f', 'g'), 'hashkey=', 8, 'hashCount=', 1)
('ele', ('f', 'i'), 'hashkey=', 10, 'hashCount=', 1)
('ele', ('g', 'i'), 'hashkey=', 11, 'hashCount=', 1)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 3)
('ele', ('a', 'e'), 'hashkey=', 1, 'hashCount=', 4)
('ele', ('a', 'f'), 'hashkey=', 2, 'hashCount=', 4)
('ele', ('a', 'g'), 'hashkey=', 3, 'hashCount=', 5)
('ele', ('c', 'e'), 'hashkey=', 3, 'hashCount=', 6)
('ele', ('c', 'f'), 'hashkey=', 4, 'hashCount=', 6)
('ele', ('c', 'g'), 'hashkey=', 5, 'hashCount=', 4)
('ele', ('e', 'f'), 'hashkey=', 6, 'hashCount=', 3)
('ele', ('e', 'g'), 'hashkey=', 7, 'hashCount=', 2)
('ele', ('f', 'g'), 'hashkey=', 8, 'hashCount=', 2)
('ele', ('a', 'b'), 'hashkey=', 18, 'hashCount=', 2)
('ele', ('e', 'f'), 'hashkey=', 6, 'hashCount=', 4)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 4)
('ele', ('a', 'e'), 'hashkey=', 1, 'hashCount=', 5)
('ele', ('c', 'e'), 'hashkey=', 3, 'hashCount=', 7)
('ele', ('a', 'b'), 'hashkey=', 18, 'hashCount=', 3)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 5)
('ele', ('a', 'f'), 'hashkey=', 2, 'hashCount=', 5)
('ele', ('a', 'g'), 'hashkey=', 3, 'hashCount=', 8)
('ele', ('a', 'h'), 'hashkey=', 4, 'hashCount=', 7)
('ele', ('b', 'c'), 'hashkey=', 0, 'hashCount=', 4)
('ele', ('b', 'f'), 'hashkey=', 3, 'hashCount=', 9)
('ele', ('b', 'g'), 'hashkey=', 4, 'hashCount=', 8)
('ele', ('b', 'h'), 'hashkey=', 5, 'hashCount=', 5)
('ele', ('c', 'f'), 'hashkey=', 4, 'hashCount=', 9)
('ele', ('c', 'g'), 'hashkey=', 5, 'hashCount=', 6)
('ele', ('c', 'h'), 'hashkey=', 6, 'hashCount=', 5)
('ele', ('f', 'g'), 'hashkey=', 8, 'hashCount=', 3)
('ele', ('f', 'h'), 'hashkey=', 9, 'hashCount=', 1)
('ele', ('g', 'h'), 'hashkey=', 10, 'hashCount=', 2)
('ele', ('a', 'b'), 'hashkey=', 18, 'hashCount=', 4)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 6)
('ele', ('b', 'c'), 'hashkey=', 0, 'hashCount=', 5)
('ele', ('a', 'b'), 'hashkey=', 18, 'hashCount=', 5)
('ele', ('a', 'b'), 'hashkey=', 18, 'hashCount=', 6)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 7)
('ele', ('b', 'c'), 'hashkey=', 0, 'hashCount=', 6)
('ele', ('b', 'd'), 'hashkey=', 1, 'hashCount=', 6)
('ele', ('b', 'e'), 'hashkey=', 2, 'hashCount=', 6)
('ele', ('b', 'f'), 'hashkey=', 3, 'hashCount=', 10)
('ele', ('b', 'i'), 'hashkey=', 6, 'hashCount=', 6)
('ele', ('b', 'j'), 'hashkey=', 7, 'hashCount=', 3)
('ele', ('b', 'k'), 'hashkey=', 8, 'hashCount=', 4)
('ele', ('b', 'l'), 'hashkey=', 9, 'hashCount=', 2)
('ele', ('d', 'e'), 'hashkey=', 4, 'hashCount=', 10)
('ele', ('d', 'f'), 'hashkey=', 5, 'hashCount=', 7)
('ele', ('d', 'i'), 'hashkey=', 8, 'hashCount=', 5)
('ele', ('d', 'j'), 'hashkey=', 9, 'hashCount=', 3)
('ele', ('d', 'k'), 'hashkey=', 10, 'hashCount=', 3)
('ele', ('d', 'l'), 'hashkey=', 11, 'hashCount=', 2)
('ele', ('e', 'f'), 'hashkey=', 6, 'hashCount=', 7)
('ele', ('e', 'i'), 'hashkey=', 9, 'hashCount=', 4)
('ele', ('e', 'j'), 'hashkey=', 10, 'hashCount=', 4)
